"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,25,8,"br",0.111703647285154,17.6427576375986,0.5,0.444444444444444,0.705882352941177,20,22
"ecoli",46,100,25,8,"reiter",0.115051633714441,21.3088433635794,0.5,0.481481481481481,0.722222222222222,19,22
"ecoli",46,100,25,9,"old",0.102676286899427,Inf,0.5,0.625,0.952380952380952,13,14
"ecoli",46,100,25,9,"br",0.078334807572826,18.2652979181914,0.5,0.5625,0.947368421052632,15,15
"ecoli",46,100,25,9,"reiter",0.08151579017358,18.9986820754661,0.5,0.5625,0.947368421052632,15,15
"ecoli",46,100,25,10,"old",0.087534473395828,Inf,0.5,0.714285714285714,0.833333333333333,12,14
"ecoli",46,100,25,10,"br",0.072692366028802,18.3631675138898,0.5,0.607142857142857,0.80952380952381,15,16
"ecoli",46,100,25,10,"reiter",0.0778000013451986,18.8510404072674,0.5,0.607142857142857,0.80952380952381,15,16
"ecoli",46,100,25,1,"old",0.173714919907778,Inf,0.9,0.307692307692308,1,18,21
"ecoli",46,100,25,1,"br",0.165379592953633,16.5770749168087,0.9,0.307692307692308,0.666666666666667,22,25
"ecoli",46,100,25,1,"reiter",0.166097675841004,18.0143854549213,0.9,0.307692307692308,0.666666666666667,22,25
"ecoli",46,100,25,2,"old",0.198027818654985,Inf,0.9,0.428571428571429,0.857142857142857,18,21
"ecoli",46,100,25,2,"br",0.17329296931661,16.4269615040716,0.9,0.357142857142857,0.666666666666667,23,24
"ecoli",46,100,25,2,"reiter",0.176148221621073,17.6806928397287,0.9,0.357142857142857,0.714285714285714,22,23
"ecoli",46,100,25,3,"old",0.231182672831044,Inf,0.9,0.423076923076923,0.916666666666667,16,19
"ecoli",46,100,25,3,"br",0.182895935119929,16.23342924553,0.9,0.307692307692308,0.888888888888889,19,21
"ecoli",46,100,25,3,"reiter",0.186861267603967,17.4626627553533,0.9,0.307692307692308,0.888888888888889,19,21
"ecoli",46,100,25,4,"old",0.216738657930243,Inf,0.9,0.4,1,18,18
"ecoli",46,100,25,4,"br",0.189693778186676,16.1708720560868,0.9,0.366666666666667,0.846153846153846,21,22
"ecoli",46,100,25,4,"reiter",0.191616016615989,17.77614700533,0.9,0.366666666666667,0.916666666666667,20,20
"ecoli",46,100,25,5,"old",0.187690161281205,Inf,0.9,0.285714285714286,0.727272727272727,23,25
"ecoli",46,100,25,5,"br",0.178569757023017,16.2469986691393,0.9,0.285714285714286,0.666666666666667,24,26
"ecoli",46,100,25,5,"reiter",0.178485654033202,17.6850237363911,0.9,0.285714285714286,0.666666666666667,24,26
"ecoli",46,100,25,6,"old",0.164871961305742,Inf,0.9,0.448275862068966,0.8125,19,23
"ecoli",46,100,25,6,"br",0.157639294262688,16.7018283784554,0.9,0.413793103448276,0.8,20,26
"ecoli",46,100,25,6,"reiter",0.159587117378634,18.0485978656727,0.9,0.413793103448276,0.8,20,26
"ecoli",46,100,25,7,"old",0.159080259655396,Inf,0.9,0.321428571428571,0.75,22,25
"ecoli",46,100,25,7,"br",0.135394094244272,17.1236072567158,0.9,0.285714285714286,0.666666666666667,24,26
"ecoli",46,100,25,7,"reiter",0.137016721875654,18.2380615531586,0.9,0.285714285714286,0.666666666666667,24,26
"ecoli",46,100,25,8,"old",0.196450224393281,Inf,0.9,0.296296296296296,0.888888888888889,20,23
"ecoli",46,100,25,8,"br",0.159173215788388,16.6809821522323,0.9,0.333333333333333,1,18,21
"ecoli",46,100,25,8,"reiter",0.158905157309043,18.0306800208273,0.9,0.333333333333333,1,18,21
