"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"284",33,1000,100,NA,"old",NA,0.972972972972973,0.986301369863014,3,73,74
"286",33,10,100,NA,"old",NA,0.975,0.928571428571429,8,84,80
"287",33,100,100,NA,"old",NA,0.975,0.951219512195122,6,82,80
"288",33,1000,100,NA,"old",NA,0.975,0.939759036144578,7,83,80
"290",33,10,100,NA,"old",NA,0.971830985915493,0.958333333333333,5,72,71
"291",33,100,100,NA,"old",NA,0.985915492957746,0.958904109589041,4,73,71
"292",33,1000,100,NA,"old",NA,0.985915492957746,0.945945945945946,5,74,71
"294",33,10,100,NA,"old",NA,0.944444444444444,0.977011494252874,7,87,90
"295",33,100,100,NA,"old",NA,0.944444444444444,0.988372093023256,6,86,90
"296",33,1000,100,NA,"old",NA,0.933333333333333,0.988235294117647,7,85,90
"298",33,10,100,NA,"old",NA,0.963414634146341,0.963414634146341,6,82,82
"299",33,100,100,NA,"old",NA,0.951219512195122,0.962962962962963,7,81,82
"300",33,1000,100,NA,"old",NA,0.963414634146341,0.975308641975309,5,81,82
"302",33,10,100,NA,"old",NA,0.98780487804878,0.98780487804878,2,82,82
"303",33,100,100,NA,"old",NA,0.98780487804878,1,1,81,82
"304",33,1000,100,NA,"old",NA,0.98780487804878,1,1,81,82
"306",33,10,100,NA,"old",NA,0.965909090909091,0.988372093023256,4,86,88
"307",33,100,100,NA,"old",NA,0.977272727272727,0.977272727272727,4,88,88
"308",33,1000,100,NA,"old",NA,0.977272727272727,0.977272727272727,4,88,88
"310",33,10,100,NA,"old",NA,1,0.97752808988764,2,89,87
"311",33,100,100,NA,"old",NA,1,0.97752808988764,2,89,87
"312",33,1000,100,NA,"old",NA,1,0.97752808988764,2,89,87
"314",33,10,100,NA,"old",NA,0.946808510638298,1,5,89,94
"315",33,100,100,NA,"old",NA,0.978723404255319,1,2,92,94
"316",33,1000,100,NA,"old",NA,0.978723404255319,1,2,92,94
"318",33,10,100,NA,"old",NA,0.948717948717949,0.986666666666667,5,75,78
"319",33,100,100,NA,"old",NA,0.948717948717949,1,4,74,78
"320",33,1000,100,NA,"old",NA,0.948717948717949,1,4,74,78
"322",33,10,100,NA,"old",NA,0.964705882352941,0.964705882352941,6,85,85
"323",33,100,100,NA,"old",NA,0.952941176470588,0.975903614457831,6,83,85
"324",33,1000,100,NA,"old",NA,0.952941176470588,0.975903614457831,6,83,85
"326",33,10,100,NA,"old",NA,0.95,0.987012987012987,5,77,80
"327",33,100,100,NA,"old",NA,0.9625,0.974683544303797,5,79,80
"328",33,1000,100,NA,"old",NA,0.975,0.975,4,80,80
"330",33,10,100,NA,"old",NA,0.96039603960396,0.989795918367347,5,98,101
"331",33,100,100,NA,"old",NA,0.96039603960396,0.989795918367347,5,98,101
"332",33,1000,100,NA,"old",NA,0.95049504950495,0.989690721649485,6,97,101
"334",33,10,100,NA,"old",NA,0.961538461538462,0.9375,8,80,78
